CaseStudy_ID,Question_ID,Answer,Sample_ID,Model_name,Model_return,Info_check,Repeat_number,Authors,Google.Folder,Data,Task.Category
Kidney_pathway_1,3,A,Kidney_pathway_1A,claude-opus-5,B,Yes,2,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,o1-2024-12-17,D,No,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gemini-3.6-flash,D,Yes,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gpt-5.6-sol,D,Yes,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,claude-opus-5,D,No,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,o1-2024-12-17,B,Yes,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gemini-3.6-flash,B,Yes,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gpt-5.6-sol,B,Yes,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,claude-opus-5,B,Yes,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,o1-2024-12-17,B,Yes,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,gemini-3.6-flash,B,Yes,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,gpt-5.6-sol,B,Yes,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,claude-opus-5,B,Yes,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_pathway_2,1,A,Kidney_pathway_2,o1-2024-12-17,A,Yes,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,1,A,Kidney_pathway_2,gemini-3.6-flash,A,Yes,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,1,A,Kidney_pathway_2,gpt-5.6-sol,A,Yes,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,1,A,Kidney_pathway_2,claude-opus-5,A,Yes,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,2,B,Kidney_pathway_2,o1-2024-12-17,B,Yes,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,2,B,Kidney_pathway_2,gemini-3.6-flash,E,No,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,2,B,Kidney_pathway_2,gpt-5.6-sol,B,No,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,2,B,Kidney_pathway_2,claude-opus-5,E,No,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,3,A,Kidney_pathway_2,o1-2024-12-17,A,Yes,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,3,A,Kidney_pathway_2,gemini-3.6-flash,A,Yes,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,3,A,Kidney_pathway_2,gpt-5.6-sol,A,Yes,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,3,A,Kidney_pathway_2,claude-opus-5,A,Yes,2,DK,Pathway,Kidney,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1A,o1-2024-12-17,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1A,gemini-3.6-flash,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1A,gpt-5.6-sol,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1A,claude-opus-5,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1B,o1-2024-12-17,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1B,gemini-3.6-flash,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1B,gpt-5.6-sol,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1B,claude-opus-5,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1C,o1-2024-12-17,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1C,gemini-3.6-flash,B,No,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1C,gpt-5.6-sol,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1C,claude-opus-5,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1D,o1-2024-12-17,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1D,gemini-3.6-flash,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1D,gpt-5.6-sol,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1D,claude-opus-5,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1A,o1-2024-12-17,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1A,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1A,gpt-5.6-sol,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1A,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1B,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1B,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1B,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1B,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1C,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1C,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1C,gpt-5.6-sol,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1C,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1D,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1D,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1D,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1D,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1A,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1A,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1A,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1A,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1B,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1B,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1B,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1B,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,gpt-5.6-sol,A,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_2,1,A,Covid_CCI_2A,o1-2024-12-17,B,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2A,gemini-3.6-flash,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2A,gpt-5.6-sol,B,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2A,claude-opus-5,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,o1-2024-12-17,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,gemini-3.6-flash,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,gpt-5.6-sol,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,claude-opus-5,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,o1-2024-12-17,B,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,gemini-3.6-flash,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,gpt-5.6-sol,B,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,claude-opus-5,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,o1-2024-12-17,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,gemini-3.6-flash,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,gpt-5.6-sol,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,claude-opus-5,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,o1-2024-12-17,C,No,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,gemini-3.6-flash,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,gpt-5.6-sol,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,claude-opus-5,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,o1-2024-12-17,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,gemini-3.6-flash,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,gpt-5.6-sol,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,claude-opus-5,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,o1-2024-12-17,B,No,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,gemini-3.6-flash,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,gpt-5.6-sol,B,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,claude-opus-5,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,o1-2024-12-17,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,gemini-3.6-flash,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,gpt-5.6-sol,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,claude-opus-5,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,o1-2024-12-17,B,No,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,claude-opus-5,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,claude-opus-5,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,o1-2024-12-17,B,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,gpt-5.6-sol,A,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,claude-opus-5,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,claude-opus-5,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_3,1,D,Covid_CCI_3A,o1-2024-12-17,B,No,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3A,gemini-3.6-flash,E,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3A,gpt-5.6-sol,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3A,claude-opus-5,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,o1-2024-12-17,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,gemini-3.6-flash,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,gpt-5.6-sol,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,claude-opus-5,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,o1-2024-12-17,C,No,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,gemini-3.6-flash,D,No,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,gpt-5.6-sol,B,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,claude-opus-5,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,o1-2024-12-17,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,gemini-3.6-flash,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,gpt-5.6-sol,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,claude-opus-5,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,o1-2024-12-17,C,No,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,claude-opus-5,C,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,o1-2024-12-17,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,gemini-3.6-flash,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,gpt-5.6-sol,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,claude-opus-5,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3B,o1-2024-12-17,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3B,gemini-3.6-flash,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3B,gpt-5.6-sol,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3B,claude-opus-5,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3C,o1-2024-12-17,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3C,gemini-3.6-flash,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3C,gpt-5.6-sol,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3C,claude-opus-5,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3D,o1-2024-12-17,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3D,gemini-3.6-flash,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3D,gpt-5.6-sol,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3D,claude-opus-5,D,Yes,2,YC,CCI,COVID,Biological Inference
Covid_CCI_5,1,C,Covid_CCI_5A,o1-2024-12-17,C,No,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5A,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5A,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5A,claude-opus-5,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5B,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5B,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5B,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5B,claude-opus-5,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5C,o1-2024-12-17,C,No,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5C,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5C,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5C,claude-opus-5,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5D,o1-2024-12-17,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5D,gemini-3.6-flash,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5D,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5D,claude-opus-5,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5A,o1-2024-12-17,E,No,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5A,gemini-3.6-flash,D,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5A,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5A,claude-opus-5,D,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5B,o1-2024-12-17,D,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5B,gemini-3.6-flash,D,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5B,gpt-5.6-sol,C,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5B,claude-opus-5,D,Yes,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5C,o1-2024-12-17,C,No,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5C,gemini-3.6-flash,D,No,2,YC,CCI,COVID,Descriptive - information retrival
