CaseStudy_ID,Question_ID,Answer,Sample_ID,Model_name,Model_return,Info_check,Authors,Google Folder,Data,Task Category
Covid_CCI_1,3,C,Covid_CCI_1B,gpt-4o,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1B,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1B,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,gpt-4o,error,error,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,claude-3-7-sonnet-20250219,error,error,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,gpt-4o,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_2,1,A,Covid_CCI_2A,gpt-4o,B,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2A,gemini-2.0-flash,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2A,claude-3-7-sonnet-20250219,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,gpt-4o,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,gemini-2.0-flash,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,claude-3-7-sonnet-20250219,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,gpt-4o,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,gemini-2.0-flash,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,claude-3-7-sonnet-20250219,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,gpt-4o,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,gemini-2.0-flash,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,claude-3-7-sonnet-20250219,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,gpt-4o,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,gemini-2.0-flash,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,gpt-4o,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,gemini-2.0-flash,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,claude-3-7-sonnet-20250219,A,No,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,gpt-4o,B,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,gemini-2.0-flash,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,claude-3-7-sonnet-20250219,B,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,gpt-4o,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,gemini-2.0-flash,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,claude-3-7-sonnet-20250219,A,No,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,gpt-4o,B,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,gpt-4o,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,gpt-4o,E,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,claude-3-7-sonnet-20250219,B,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,gpt-4o,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_3,1,D,Covid_CCI_3A,gpt-4o,B,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3A,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3A,claude-3-7-sonnet-20250219,B,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,gpt-4o,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,gemini-2.0-flash,B,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,claude-3-7-sonnet-20250219,B,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,gpt-4o,D,No,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,claude-3-7-sonnet-20250219,B,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,gpt-4o,B,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,gemini-2.0-flash,B,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,claude-3-7-sonnet-20250219,B,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,gpt-4o,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,gpt-4o,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,gpt-4o,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,gpt-4o,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,gpt-4o,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,claude-3-7-sonnet-20250219,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3B,gpt-4o,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3B,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3B,claude-3-7-sonnet-20250219,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3C,gpt-4o,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3C,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3C,claude-3-7-sonnet-20250219,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3D,gpt-4o,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3D,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3D,claude-3-7-sonnet-20250219,D,Yes,YC,CCI,COVID,Biological Inference
Covid_CCI_5,1,C,Covid_CCI_5A,gpt-4o,B,No,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5A,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5A,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5B,gpt-4o,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5B,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5B,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5C,gpt-4o,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5C,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5C,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5D,gpt-4o,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5D,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,1,C,Covid_CCI_5D,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5A,gpt-4o,B,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5A,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5A,claude-3-7-sonnet-20250219,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5B,gpt-4o,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5B,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5B,claude-3-7-sonnet-20250219,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5C,gpt-4o,B,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5C,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5C,claude-3-7-sonnet-20250219,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5D,gpt-4o,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5D,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,2,D,Covid_CCI_5D,claude-3-7-sonnet-20250219,E,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5A,gpt-4o,B,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5A,gemini-2.0-flash,E,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5A,claude-3-7-sonnet-20250219,B,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5B,gpt-4o,E,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5B,gemini-2.0-flash,E,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5B,claude-3-7-sonnet-20250219,E,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5C,gpt-4o,A,No,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5C,gemini-2.0-flash,B,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5C,claude-3-7-sonnet-20250219,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5D,gpt-4o,E,No,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5D,gemini-2.0-flash,E,No,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_5,3,B,Covid_CCI_5D,claude-3-7-sonnet-20250219,E,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6A,gpt-4o,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6A,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6A,claude-3-7-sonnet-20250219,error,error,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6B,gpt-4o,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6B,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6B,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6C,gpt-4o,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6C,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6C,claude-3-7-sonnet-20250219,error,error,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6D,gpt-4o,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6D,gemini-2.0-flash,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,1,C,Covid_CCI_6D,claude-3-7-sonnet-20250219,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6A,gpt-4o,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6A,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6A,claude-3-7-sonnet-20250219,error,error,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6B,gpt-4o,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6B,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6B,claude-3-7-sonnet-20250219,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6C,gpt-4o,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6C,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6C,claude-3-7-sonnet-20250219,error,error,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6D,gpt-4o,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6D,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,2,D,Covid_CCI_6D,claude-3-7-sonnet-20250219,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6A,gpt-4o,C,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6A,gemini-2.0-flash,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6A,claude-3-7-sonnet-20250219,error,error,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6B,gpt-4o,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6B,gemini-2.0-flash,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6B,claude-3-7-sonnet-20250219,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6C,gpt-4o,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6C,gemini-2.0-flash,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6C,claude-3-7-sonnet-20250219,error,error,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6D,gpt-4o,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6D,gemini-2.0-flash,D,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_6,3,D,Covid_CCI_6D,claude-3-7-sonnet-20250219,A,Yes,YC,CCI,COVID,Descriptive - information retrival
Covid_DE_1,1,A,Covid_DE_1,gpt-4o,A,Yes,DK,DE,,Descriptive - information retrival
Covid_DE_1,1,A,Covid_DE_1,gemini-2.0-flash,A,Yes,DK,DE,,Descriptive - information retrival
Covid_DE_1,1,A,Covid_DE_1,claude-3-7-sonnet-20250219,A,Yes,DK,DE,,Descriptive - information retrival
Covid_DE_1,2,B,Covid_DE_1,gpt-4o,B,Yes,DK,DE,,Descriptive - information retrival
