CaseStudy_ID,Question_ID,Answer,Sample_ID,Model_name,Model_return,Repeat_number,Authors,Google Folder,Data,Task Category
Kidney_DE_1,1,D,Kidney_DE_1,gemini-2.0-flash,D,3,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gemini-2.0-flash,D,4,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gemini-2.0-flash,D,5,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gemini-2.0-flash,B,1,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gemini-2.0-flash,B,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gemini-2.0-flash,B,3,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gemini-2.0-flash,B,4,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gemini-2.0-flash,B,5,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,gemini-2.0-flash,B,1,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,gemini-2.0-flash,B,2,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,gemini-2.0-flash,B,3,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,gemini-2.0-flash,B,4,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,gemini-2.0-flash,B,5,DK,DE,Kidney,Descriptive - information retrival
Kidney_pathway_2,1,A,Kidney_pathway_2,gemini-2.0-flash,A,1,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,1,A,Kidney_pathway_2,gemini-2.0-flash,A,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,1,A,Kidney_pathway_2,gemini-2.0-flash,A,3,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,1,A,Kidney_pathway_2,gemini-2.0-flash,A,4,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,1,A,Kidney_pathway_2,gemini-2.0-flash,A,5,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,2,B,Kidney_pathway_2,gemini-2.0-flash,B,1,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,2,B,Kidney_pathway_2,gemini-2.0-flash,B,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,2,B,Kidney_pathway_2,gemini-2.0-flash,B,3,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,2,B,Kidney_pathway_2,gemini-2.0-flash,B,4,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,2,B,Kidney_pathway_2,gemini-2.0-flash,B,5,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,3,A,Kidney_pathway_2,gemini-2.0-flash,A,1,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,3,A,Kidney_pathway_2,gemini-2.0-flash,A,2,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,3,A,Kidney_pathway_2,gemini-2.0-flash,A,3,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,3,A,Kidney_pathway_2,gemini-2.0-flash,A,4,DK,Pathway,Kidney,Biological Inference
Kidney_pathway_2,3,A,Kidney_pathway_2,gemini-2.0-flash,A,5,DK,Pathway,Kidney,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1A,gemini-2.0-flash,B,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1A,gemini-2.0-flash,B,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1A,gemini-2.0-flash,B,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1A,gemini-2.0-flash,B,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1A,gemini-2.0-flash,B,5,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1B,gemini-2.0-flash,B,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1B,gemini-2.0-flash,B,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1B,gemini-2.0-flash,B,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1B,gemini-2.0-flash,B,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1B,gemini-2.0-flash,B,5,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1C,gemini-2.0-flash,B,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1C,gemini-2.0-flash,B,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1C,gemini-2.0-flash,B,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1C,gemini-2.0-flash,B,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1C,gemini-2.0-flash,B,5,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1D,gemini-2.0-flash,B,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1D,gemini-2.0-flash,B,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1D,gemini-2.0-flash,B,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1D,gemini-2.0-flash,B,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,1,B,Covid_CCI_1D,gemini-2.0-flash,B,5,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1A,gemini-2.0-flash,C,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1A,gemini-2.0-flash,C,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1A,gemini-2.0-flash,C,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1A,gemini-2.0-flash,C,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1A,gemini-2.0-flash,C,5,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1B,gemini-2.0-flash,C,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1B,gemini-2.0-flash,C,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1B,gemini-2.0-flash,C,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1B,gemini-2.0-flash,C,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1B,gemini-2.0-flash,C,5,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1C,gemini-2.0-flash,B,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1C,gemini-2.0-flash,B,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1C,gemini-2.0-flash,B,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1C,gemini-2.0-flash,B,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1C,gemini-2.0-flash,B,5,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1D,gemini-2.0-flash,B,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1D,gemini-2.0-flash,B,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1D,gemini-2.0-flash,B,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1D,gemini-2.0-flash,B,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,2,C,Covid_CCI_1D,gemini-2.0-flash,B,5,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1A,gemini-2.0-flash,C,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1A,gemini-2.0-flash,C,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1A,gemini-2.0-flash,C,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1A,gemini-2.0-flash,C,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1A,gemini-2.0-flash,C,5,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1B,gemini-2.0-flash,C,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1B,gemini-2.0-flash,C,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1B,gemini-2.0-flash,C,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1B,gemini-2.0-flash,C,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1B,gemini-2.0-flash,C,5,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,gemini-2.0-flash,C,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,gemini-2.0-flash,C,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,gemini-2.0-flash,C,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,gemini-2.0-flash,C,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1C,gemini-2.0-flash,C,5,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,gemini-2.0-flash,C,1,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,gemini-2.0-flash,C,2,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,gemini-2.0-flash,C,3,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,gemini-2.0-flash,C,4,YC,CCI,COVID,Biological Inference
Covid_CCI_1,3,C,Covid_CCI_1D,gemini-2.0-flash,C,5,YC,CCI,COVID,Biological Inference
Covid_CCI_2,1,A,Covid_CCI_2A,gemini-2.0-flash,A,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2A,gemini-2.0-flash,A,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2A,gemini-2.0-flash,A,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2A,gemini-2.0-flash,A,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2A,gemini-2.0-flash,A,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,gemini-2.0-flash,A,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,gemini-2.0-flash,A,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,gemini-2.0-flash,A,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,gemini-2.0-flash,A,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2B,gemini-2.0-flash,A,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,gemini-2.0-flash,A,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,gemini-2.0-flash,A,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,gemini-2.0-flash,A,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,gemini-2.0-flash,A,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2C,gemini-2.0-flash,A,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,gemini-2.0-flash,A,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,gemini-2.0-flash,A,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,gemini-2.0-flash,A,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,gemini-2.0-flash,A,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,1,A,Covid_CCI_2D,gemini-2.0-flash,A,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,gemini-2.0-flash,A,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,gemini-2.0-flash,A,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,gemini-2.0-flash,A,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,gemini-2.0-flash,A,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2A,gemini-2.0-flash,A,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,gemini-2.0-flash,A,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,gemini-2.0-flash,A,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,gemini-2.0-flash,A,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,gemini-2.0-flash,A,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2B,gemini-2.0-flash,A,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,gemini-2.0-flash,A,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,gemini-2.0-flash,A,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,gemini-2.0-flash,A,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,gemini-2.0-flash,A,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2C,gemini-2.0-flash,A,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,gemini-2.0-flash,A,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,gemini-2.0-flash,A,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,gemini-2.0-flash,A,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,gemini-2.0-flash,A,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,2,A,Covid_CCI_2D,gemini-2.0-flash,A,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,gemini-2.0-flash,C,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,gemini-2.0-flash,C,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,gemini-2.0-flash,C,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,gemini-2.0-flash,C,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2A,gemini-2.0-flash,C,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,gemini-2.0-flash,C,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,gemini-2.0-flash,C,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,gemini-2.0-flash,C,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,gemini-2.0-flash,C,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2B,gemini-2.0-flash,C,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,gemini-2.0-flash,C,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,gemini-2.0-flash,C,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,gemini-2.0-flash,C,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,gemini-2.0-flash,C,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2C,gemini-2.0-flash,C,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,gemini-2.0-flash,C,1,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,gemini-2.0-flash,C,2,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,gemini-2.0-flash,C,3,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,gemini-2.0-flash,C,4,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_2,3,C,Covid_CCI_2D,gemini-2.0-flash,C,5,YC,CCI,COVID,Descriptive - information retrival
Covid_CCI_3,1,D,Covid_CCI_3A,gemini-2.0-flash,D,1,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3A,gemini-2.0-flash,D,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3A,gemini-2.0-flash,D,3,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3A,gemini-2.0-flash,D,4,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3A,gemini-2.0-flash,D,5,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,gemini-2.0-flash,B,1,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,gemini-2.0-flash,B,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,gemini-2.0-flash,B,3,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,gemini-2.0-flash,B,4,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3B,gemini-2.0-flash,B,5,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,gemini-2.0-flash,D,1,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,gemini-2.0-flash,D,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,gemini-2.0-flash,D,3,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,gemini-2.0-flash,D,4,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3C,gemini-2.0-flash,D,5,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,gemini-2.0-flash,B,1,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,gemini-2.0-flash,B,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,gemini-2.0-flash,B,3,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,gemini-2.0-flash,B,4,YC,CCI,COVID,Biological Inference
Covid_CCI_3,1,D,Covid_CCI_3D,gemini-2.0-flash,B,5,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,gemini-2.0-flash,C,1,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,gemini-2.0-flash,C,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,gemini-2.0-flash,C,3,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,gemini-2.0-flash,C,4,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3A,gemini-2.0-flash,C,5,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,gemini-2.0-flash,C,1,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,gemini-2.0-flash,C,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,gemini-2.0-flash,C,3,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,gemini-2.0-flash,C,4,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3B,gemini-2.0-flash,C,5,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,gemini-2.0-flash,C,1,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,gemini-2.0-flash,C,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,gemini-2.0-flash,C,3,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,gemini-2.0-flash,C,4,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3C,gemini-2.0-flash,C,5,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,gemini-2.0-flash,C,1,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,gemini-2.0-flash,C,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,gemini-2.0-flash,C,3,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,gemini-2.0-flash,C,4,YC,CCI,COVID,Biological Inference
Covid_CCI_3,2,C,Covid_CCI_3D,gemini-2.0-flash,C,5,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,gemini-2.0-flash,D,1,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,gemini-2.0-flash,D,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,gemini-2.0-flash,D,3,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,gemini-2.0-flash,D,4,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3A,gemini-2.0-flash,D,5,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3B,gemini-2.0-flash,D,1,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3B,gemini-2.0-flash,D,2,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3B,gemini-2.0-flash,D,3,YC,CCI,COVID,Biological Inference
Covid_CCI_3,3,D,Covid_CCI_3B,gemini-2.0-flash,D,4,YC,CCI,COVID,Biological Inference
